,Vectorizer,Model,Train_Accuracy,Train_F1,Test_Accuracy,Test_F1,Inference_Time,FLOPs_per_Sample,Training_Time
0,Matrix Embedding,CNN Model,0.982125,0.9821182280113712,0.9121052631578948,0.9120221391223258,7.875,19660800,1685.796875
1,Matrix Embedding,MLP Model,0.982125,0.9821182280113712,0.8994736842105263,0.8996236037292534,7.25,13173760,1685.796875
